dish_id,dish_label,dish_class,dish_family,dish_name,cuisine,course,protein_type,source,label_quality,source_dish_label,original_path,ingredients,image_path
0,apple_pie,apple_pie,,,Unknown,Dessert,Unknown,food101,dataset_label+heuristic_metadata,,,"chicken,rice,tomato",public_images/food101/apple_pie/food101_apple_pie_000001.jpg
1,apple_pie,apple_pie,,,Unknown,Dessert,Unknown,food101,dataset_label+heuristic_metadata,,,"beef,cheese,potato,cream",public_images/food101/apple_pie/food101_apple_pie_000002.jpg
2,apple_pie,apple_pie,,,Unknown,Dessert,Unknown,food101,dataset_label+heuristic_metadata,,,"fish,chili,chicken,cream,spice,cheese,rice",public_images/food101/apple_pie/food101_apple_pie_000003.jpg
3,apple_pie,apple_pie,,,Unknown,Dessert,Unknown,food101,dataset_label+heuristic_metadata,,,"chicken,potato,spice,fish,tomato,spinach,pasta",public_images/food101/apple_pie/food101_apple_pie_000004.jpg
4,apple_pie,apple_pie,,,Unknown,Dessert,Unknown,food101,dataset_label+heuristic_metadata,,,"chicken,avocado,fish,garlic,rice",public_images/food101/apple_pie/food101_apple_pie_000005.jpg
5,apple_pie,apple_pie,,,Unknown,Dessert,Unknown,food101,dataset_label+heuristic_metadata,,,"spice,garlic,cheese,cream",public_images/food101/apple_pie/food101_apple_pie_000006.jpg
6,apple_pie,apple_pie,,,Unknown,Dessert,Unknown,food101,dataset_label+heuristic_metadata,,,"cheese,lamb,beans,rice,chili,potato",public_images/food101/apple_pie/food101_apple_pie_000007.jpg
7,apple_pie,apple_pie,,,Unknown,Dessert,Unknown,food101,dataset_label+heuristic_metadata,,,"potato,cheese,shrimp,cream,pasta,fish",public_images/food101/apple_pie/food101_apple_pie_000008.jpg
8,apple_pie,apple_pie,,,Unknown,Dessert,Unknown,food101,dataset_label+heuristic_metadata,,,"lamb,beans,spice,cream,chili,garlic,cheese",public_images/food101/apple_pie/food101_apple_pie_000009.jpg
9,apple_pie,apple_pie,,,Unknown,Dessert,Unknown,food101,dataset_label+heuristic_metadata,,,"cream,tomato,cheese,shrimp,rice",public_images/food101/apple_pie/food101_apple_pie_000010.jpg
10,apple_pie,apple_pie,,,Unknown,Dessert,Unknown,food101,dataset_label+heuristic_metadata,,,"lamb,avocado,egg,potato,spice,garlic",public_images/food101/apple_pie/food101_apple_pie_000011.jpg
11,apple_pie,apple_pie,,,Unknown,Dessert,Unknown,food101,dataset_label+heuristic_metadata,,,"cream,avocado,potato,tomato,beans",public_images/food101/apple_pie/food101_apple_pie_000012.jpg
12,apple_pie,apple_pie,,,Unknown,Dessert,Unknown,food101,dataset_label+heuristic_metadata,,,"shrimp,rice,potato,tomato,garlic,fish",public_images/food101/apple_pie/food101_apple_pie_000013.jpg
13,apple_pie,apple_pie,,,Unknown,Dessert,Unknown,food101,dataset_label+heuristic_metadata,,,"tomato,chili,garlic",public_images/food101/apple_pie/food101_apple_pie_000014.jpg
14,apple_pie,apple_pie,,,Unknown,Dessert,Unknown,food101,dataset_label+heuristic_metadata,,,"rice,cream,spice,garlic,potato,mushroom",public_images/food101/apple_pie/food101_apple_pie_000015.jpg
15,apple_pie,apple_pie,,,Unknown,Dessert,Unknown,food101,dataset_label+heuristic_metadata,,,"shrimp,tofu,beef,rice,potato,cheese",public_images/food101/apple_pie/food101_apple_pie_000016.jpg
16,apple_pie,apple_pie,,,Unknown,Dessert,Unknown,food101,dataset_label+heuristic_metadata,,,"potato,rice,fish,shrimp,lamb,cheese,cream",public_images/food101/apple_pie/food101_apple_pie_000017.jpg
17,apple_pie,apple_pie,,,Unknown,Dessert,Unknown,food101,dataset_label+heuristic_metadata,,,"spinach,cream,chili,cheese,beef,garlic,beans",public_images/food101/apple_pie/food101_apple_pie_000018.jpg
