image_path,dish_name,cuisine,protein,prep_style,notes
images/bruschetta/bruschetta_52899.jpg,bruschetta,Italian,mixed,mixed,bootstrapped_from_manifest
images/bruschetta/bruschetta_53128.jpg,bruschetta,Italian,mixed,mixed,bootstrapped_from_manifest
images/seaweed_salad/seaweed_salad_65845.jpg,seaweed salad,unknown,plant,mixed,bootstrapped_from_manifest
images/nachos/nachos_74690.jpg,nachos,Mexican,mixed,mixed,bootstrapped_from_manifest
images/samosa/samosa_1661.jpg,samosa,Indian,mixed,fried,bootstrapped_from_manifest
images/red_velvet_cake/red_velvet_cake_34564.jpg,red velvet cake,unknown,mixed,baked,bootstrapped_from_manifest
images/caesar_salad/caesar_salad_37692.jpg,caesar salad,unknown,plant,mixed,bootstrapped_from_manifest
images/beef_tartare/beef_tartare_5629.jpg,beef tartare,French,meat,raw-citrus,bootstrapped_from_manifest
images/shrimp_and_grits/shrimp_and_grits_54640.jpg,shrimp and grits,unknown,seafood,mixed,bootstrapped_from_manifest
images/prime_rib/prime_rib_70434.jpg,prime rib,unknown,mixed,roasted,bootstrapped_from_manifest
images/spring_rolls/spring_rolls_4348.jpg,spring rolls,Thai,mixed,fried,bootstrapped_from_manifest
images/frozen_yogurt/frozen_yogurt_18454.jpg,frozen yogurt,unknown,mixed,mixed,bootstrapped_from_manifest
images/hot_and_sour_soup/hot_and_sour_soup_929.jpg,hot and sour soup,unknown,mixed,stewed,bootstrapped_from_manifest
images/pizza/pizza_68055.jpg,pizza,Italian,mixed,mixed,bootstrapped_from_manifest
images/takoyaki/takoyaki_61038.jpg,takoyaki,Japanese,mixed,mixed,bootstrapped_from_manifest
images/hot_dog/hot_dog_63719.jpg,hot dog,American,mixed,mixed,bootstrapped_from_manifest
images/risotto/risotto_14781.jpg,risotto,Italian,mixed,simmered,bootstrapped_from_manifest
images/ice_cream/ice_cream_71562.jpg,ice cream,unknown,mixed,mixed,bootstrapped_from_manifest
images/beef_tartare/beef_tartare_5293.jpg,beef tartare,French,meat,raw-citrus,bootstrapped_from_manifest
images/panna_cotta/panna_cotta_4927.jpg,panna cotta,Italian,mixed,baked,bootstrapped_from_manifest
images/mussels/mussels_28048.jpg,mussels,unknown,mixed,mixed,bootstrapped_from_manifest
images/creme_brulee/creme_brulee_24137.jpg,creme brulee,French,mixed,baked,bootstrapped_from_manifest
images/cheese_plate/cheese_plate_58765.jpg,cheese plate,unknown,mixed,mixed,bootstrapped_from_manifest
images/beef_tartare/beef_tartare_5332.jpg,beef tartare,French,meat,raw-citrus,bootstrapped_from_manifest
images/bibimbap/bibimbap_11622.jpg,bibimbap,Korean,mixed,mixed,bootstrapped_from_manifest
images/hamburger/hamburger_55879.jpg,hamburger,unknown,mixed,mixed,bootstrapped_from_manifest
images/bread_pudding/bread_pudding_21672.jpg,bread pudding,unknown,mixed,mixed,bootstrapped_from_manifest
images/fried_rice/fried_rice_45814.jpg,fried rice,Chinese,mixed,fried,bootstrapped_from_manifest
images/panna_cotta/panna_cotta_4970.jpg,panna cotta,Italian,mixed,baked,bootstrapped_from_manifest
images/ravioli/ravioli_48276.jpg,ravioli,Italian,mixed,mixed,bootstrapped_from_manifest
images/fried_rice/fried_rice_46142.jpg,fried rice,Chinese,mixed,fried,bootstrapped_from_manifest
images/deviled_eggs/deviled_eggs_36870.jpg,deviled eggs,unknown,mixed,mixed,bootstrapped_from_manifest
images/cup_cakes/cup_cakes_60564.jpg,cup cakes,unknown,mixed,baked,bootstrapped_from_manifest
images/escargots/escargots_25399.jpg,escargots,French,mixed,mixed,bootstrapped_from_manifest
images/ravioli/ravioli_48433.jpg,ravioli,Italian,mixed,mixed,bootstrapped_from_manifest
images/eggs_benedict/eggs_benedict_59291.jpg,eggs benedict,unknown,mixed,mixed,bootstrapped_from_manifest
images/lobster_roll_sandwich/lobster_roll_sandwich_73540.jpg,lobster roll sandwich,unknown,mixed,mixed,bootstrapped_from_manifest
images/hot_and_sour_soup/hot_and_sour_soup_1113.jpg,hot and sour soup,unknown,mixed,stewed,bootstrapped_from_manifest
images/panna_cotta/panna_cotta_5119.jpg,panna cotta,Italian,mixed,baked,bootstrapped_from_manifest
images/donuts/donuts_46682.jpg,donuts,unknown,mixed,mixed,bootstrapped_from_manifest
images/bread_pudding/bread_pudding_21611.jpg,bread pudding,unknown,mixed,mixed,bootstrapped_from_manifest
images/spaghetti_carbonara/spaghetti_carbonara_49791.jpg,spaghetti carbonara,unknown,mixed,mixed,bootstrapped_from_manifest
images/chicken_curry/chicken_curry_36696.jpg,chicken curry,Indian,meat,stewed,bootstrapped_from_manifest
images/apple_pie/apple_pie_13288.jpg,apple pie,unknown,mixed,baked,bootstrapped_from_manifest
images/oysters/oysters_75541.jpg,oysters,unknown,mixed,mixed,bootstrapped_from_manifest
images/pancakes/pancakes_32101.jpg,pancakes,American,mixed,baked,bootstrapped_from_manifest
images/cannoli/cannoli_66581.jpg,cannoli,unknown,mixed,mixed,bootstrapped_from_manifest
images/cup_cakes/cup_cakes_60464.jpg,cup cakes,unknown,mixed,baked,bootstrapped_from_manifest
images/club_sandwich/club_sandwich_19005.jpg,club sandwich,American,mixed,mixed,bootstrapped_from_manifest
